ID,Description,Entry_ID,Spacy,Parameter_ID
0_ehemann-1,Ehemann,0,Ehemann,0_ehemanngatte
0_gatte-2,Gatte,0,Gatte,0_ehemanngatte
1_vater-1,Vater,0,Vater,1_vater
2_sehr-1,sehr,0,sehr,2_sehr
3_starkwerden-1,stark werden,0,stark werden,3_starkwerden
4_stark-1,stark,0,stark,4_starkheftig
4_heftig-2,heftig,0,heftig,4_starkheftig
5_ei-1,Ei,0,Ei,5_ei
6_ei-1,Ei,0,Ei,6_ei
7_schnell-1,schnell,0,schnell,7_schnellrasch
7_rasch-2,rasch,0,rasch,7_schnellrasch
8_stein-1,Stein,0,Stein,8_stein
9_von-1,von,0,von,9_vonvonwegvonherseitabzuaus
9_vonweg-2,von weg,0,von weg,9_vonvonwegvonherseitabzuaus
9_vonher-3,von her,0,von her,9_vonvonwegvonherseitabzuaus
9_seit-4,seit,0,seit,9_vonvonwegvonherseitabzuaus
9_ab-5,ab,0,ab,9_vonvonwegvonherseitabzuaus
9_zu-6,zu,0,zu,9_vonvonwegvonherseitabzuaus
9_aus-7,aus,0,aus,9_vonvonwegvonherseitabzuaus
10_angstigen-1,ängstigen,0,ängstigen,10_angstigensichangstigenabschrecken
10_sichangstigen-2,sich ängstigen,0,sich ängstigen,10_angstigensichangstigenabschrecken
10_abschrecken-3,abschrecken,0,abschrecken,10_angstigensichangstigenabschrecken
11_leugnen-1,leugnen,0,leugnen,11_leugnenfluchenverleugnen
11_fluchen-2,fluchen,0,fluchen,11_leugnenfluchenverleugnen
11_verleugnen-3,verleugnen,0,verleugnen,11_leugnenfluchenverleugnen
12_irremachen-1,irre machen,0,irre machen,12_irremachenabweichen
12_abweichen-2,abweichen,0,abweichen,12_irremachenabweichen
13_nach-1,nach,0,nach,13_nachhinterhernachzufolgean
13_hinter-2,hinter,0,hinter,13_nachhinterhernachzufolgean
13_hernach-3,hernach,0,hernach,13_nachhinterhernachzufolgean
13_zufolge-4,zufolge,0,zufolge,13_nachhinterhernachzufolgean
13_an-5,an,0,an,13_nachhinterhernachzufolgean
14_nachkomme-1,Nachkomme,0,Nachkomme,14_nachkomme
15_derfolgendetag-1,der folgende Tag,0,der folgende Tag,15_derfolgendetag
16_nachgehen-1,nachgehen,0,nachgehen,16_nachgehenfolgen
16_folgen-2,folgen,0,folgen,16_nachgehenfolgen
17_nachfolgen-1,nachfolgen,0,nachfolgen,17_nachfolgennachstrebennachgehenverfolgen
17_nachstreben-2,nachstreben,0,,17_nachfolgennachstrebennachgehenverfolgen
17_nachgehen-3,nachgehen,0,nachgehen,17_nachfolgennachstrebennachgehenverfolgen
17_verfolgen-4,verfolgen,0,verfolgen,17_nachfolgennachstrebennachgehenverfolgen
18_nachsabbat-1,Nachsabbat,0,,18_nachsabbat
19_nach-1,nach,0,nach,19_nach
20_erblinden-1,erblinden,0,erblinden,20_erblinden
21_abteilen-1,abteilen,0,abteilen,21_abteileneinenteilabgeben
21_einenteilabgeben-2,einen Teil abgeben,0,einen Teil abgeben,21_abteileneinenteilabgeben
22_ertauben-1,ertauben,0,,22_ertaubenverstocktwerdentaubwerden
22_verstocktwerden-2,verstockt werden,0,verstockt werden,22_ertaubenverstocktwerdentaubwerden
22_taubwerden-3,taub werden,0,taub werden,22_ertaubenverstocktwerdentaubwerden
23_geschunden-1,geschunden,0,geschunden,23_geschundengeplagtabgehetzt
23_geplagt-2,geplagt,0,geplagt,23_geschundengeplagtabgehetzt
23_abgehetzt-3,abgehetzt,0,abgehetzt,23_geschundengeplagtabgehetzt
24_toten-1,töten,0,töten,24_toten
25_verstummen-1,verstummen,0,verstummen,25_verstummen
26_plagen-1,plagen,0,plagen,26_plagenschindenabhetzen
26_schinden-2,schinden,0,schinden,26_plagenschindenabhetzen
26_abhetzen-3,abhetzen,0,,26_plagenschindenabhetzen
27_verdammung-1,Verdammung,0,Verdammung,27_verdammung
28_verurteilen-1,verurteilen,0,verurteilen,28_verurteilenverfluchen
28_verfluchen-2,verfluchen,0,verfluchen,28_verurteilenverfluchen
29_hinabsturzen-1,hinabstürzen,0,hinabstürzen,29_hinabsturzen
30_trinken-1,Trinken,0,Trinken,30_trinken
31_trunkenbold-1,Trunkenbold,0,Trunkenbold,31_trunkenbold
32_verstummen-1,verstummen,0,verstummen,32_verstummen
33_wegesserei-1,Wegesserei,0,,33_wegessereifressen
33_fressen-2,Fressen,0,Fressen,33_wegessereifressen
34_fresser-1,Fresser,0,Fresser,34_fresser
35_essbar-1,essbar,0,essbar,35_essbarfresserisch
35_fresserisch-2,fresserisch,0,,35_essbarfresserisch
36_verbergen-1,verbergen,0,verbergen,36_verbergen
37_weggehenvon-1,weggehen von,0,weggehen von,37_weggehenvonweggehenweichen
37_weggehen-2,weggehen,0,weggehen,37_weggehenvonweggehenweichen
37_weichen-3,weichen,0,weichen,37_weggehenvonweggehenweichen
38_sichwegbegeben-1,sich wegbegeben,0,sich wegbegeben,38_sichwegbegebensichhinwegbegebensichfortbegeben
38_sichhinwegbegeben-2,sich hinwegbegeben,0,sich hinwegbegeben,38_sichwegbegebensichhinwegbegebensichfortbegeben
38_sichfortbegeben-3,sich fortbegeben,0,sich fortbegeben,38_sichwegbegebensichhinwegbegebensichfortbegeben
39_abgrund-1,Abgrund,0,Abgrund,39_abgrund
40_abgrundig-1,abgründig,0,abgründig,40_abgrundig
41_gottlosigkeit-1,Gottlosigkeit,0,Gottlosigkeit,41_gottlosigkeit
42_abgottisch-1,abgöttisch,0,abgöttisch,42_abgottischgottlos
42_gottlos-2,gottlos,0,gottlos,42_abgottischgottlos
43_sichenthalten-1,sich enthalten,0,sich enthalten,43_sichenthalten
44_derheimatfern-1,der Heimat fern,0,der Heimat fern,44_derheimatfernabwesend
44_abwesend-2,abwesend,0,abwesend,44_derheimatfernabwesend
45_diebekleidungablegen-1,die Bekleidung ablegen,0,die Bekleidung ablegen,45_diebekleidungablegenausziehensichentkleiden
45_ausziehen-2,ausziehen,0,ausziehen,45_diebekleidungablegenausziehensichentkleiden
45_sichentkleiden-3,sich entkleiden,0,sich entkleiden,45_diebekleidungablegenausziehensichentkleiden
46_beladen-1,beladen,0,beladen,46_beladen
47_ubervorteilen-1,übervorteilen,0,übervorteilen,47_ubervorteilenbetrugen
47_betrugen-2,betrügen,0,betrügen,47_ubervorteilenbetrugen
48_etwasverunreinigendestilgen-1,etwas Verunreinigendes tilgen,0,etwas Verunreinigendes tilgen,48_etwasverunreinigendestilgenreinigen
48_reinigen-2,reinigen,0,reinigen,48_etwasverunreinigendestilgenreinigen
49_abschutteln-1,abschütteln,0,abschütteln,49_abschutteln
50_bezaubern-1,bezaubern,0,bezaubern,50_bezaubern
51_ersticken-1,ersticken,0,ersticken,51_erstickenausloschen
51_ausloschen-2,auslöschen,0,auslöschen,51_erstickenausloschen
52_ersticken-1,ersticken,0,ersticken,52_erstickenerloschen
52_erloschen-2,erlöschen,0,erlöschen,52_erstickenerloschen
53_verschlingen-1,verschlingen,0,verschlingen,53_verschlingenfressen
53_fressen-2,fressen,0,fressen,53_verschlingenfressen
54_ablegung-1,Ablegung,0,Ablegung,54_ablegungerlassvergebung
54_erlass-2,Erlass,0,Erlass,54_ablegungerlassvergebung
54_vergebung-3,Vergebung,0,Vergebung,54_ablegungerlassvergebung
55_etwasablegen-1,etwas ablegen,0,etwas ablegen,55_etwasablegen
56_weggehen-1,weggehen,0,weggehen,56_weggehenentweichenverreisenfortgehen
56_entweichen-2,entweichen,0,entweichen,56_weggehenentweichenverreisenfortgehen
56_verreisen-3,verreisen,0,verreisen,56_weggehenentweichenverreisenfortgehen
56_fortgehen-4,fortgehen,0,fortgehen,56_weggehenentweichenverreisenfortgehen
57_erlass-1,Erlass,0,Erlass,57_erlassvergebung
57_vergebung-2,Vergebung,0,Vergebung,57_erlassvergebung
58_entlassen-1,entlassen,0,entlassen,58_entlassenvernachlassigen
58_vernachlassigen-2,vernachlässigen,0,vernachlässigen,58_entlassenvernachlassigen
59_ubrigbleiben-1,übrigbleiben,0,übrigbleiben,59_ubrigbleiben
60_weggehen-1,weggehen,0,weggehen,60_weggehenfortgehen
60_fortgehen-2,fortgehen,0,fortgehen,60_weggehenfortgehen
61_abhauen-1,abhauen,0,abhauen,61_abhauenabschneiden
61_abschneiden-2,abschneiden,0,abschneiden,61_abhauenabschneiden
62_betrug-1,Betrug,0,Betrug,62_betrug
63_argernisnehmen-1,Ärgernis nehmen,0,Ärgernis nehmen,63_argernisnehmensichargern
63_sichargern-2,sich ärgern,0,sich ärgern,63_argernisnehmensichargern
64_ermudet-1,ermüdet,0,ermüdet,64_ermudet
65_ermuden-1,ermüden,0,ermüden,65_ermuden
66_wegnehmen-1,wegnehmen,0,wegnehmen,66_wegnehmenabnehmen
66_abnehmen-2,abnehmen,0,abnehmen,66_wegnehmenabnehmen
67_verzichtenauf-1,verzichten auf,0,verzichten auf,67_verzichtenaufentsagen
67_entsagen-2,entsagen,0,entsagen,67_verzichtenaufentsagen
68_absetzung-1,Absetzung,0,Absetzung,68_absetzungentlassungverabschiedungscheidung
68_entlassung-2,Entlassung,0,Entlassung,68_absetzungentlassungverabschiedungscheidung
68_verabschiedung-3,Verabschiedung,0,Verabschiedung,68_absetzungentlassungverabschiedungscheidung
68_scheidung-4,Scheidung,0,Scheidung,68_absetzungentlassungverabschiedungscheidung
69_absetzen-1,absetzen,0,absetzen,69_absetzenentlassen
69_entlassen-2,entlassen,0,entlassen,69_absetzenentlassen
70_abscheiden-1,abscheiden,0,abscheiden,70_abscheidenabsondernabtrennentrennen
70_absondern-2,absondern,0,absondern,70_abscheidenabsondernabtrennentrennen
70_abtrennen-3,abtrennen,0,abtrennen,70_abscheidenabsondernabtrennentrennen
70_trennen-4,trennen,0,trennen,70_abscheidenabsondernabtrennentrennen
71_verstoen-1,verstoßen,0,verstoßen,71_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen
71_vonsichwegstoen-2,von sich wegstoßen,0,von sich wegstoßen,71_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen
71_abschieben-3,abschieben,0,abschieben,71_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen
71_vonsichschieben-4,von sich schieben,0,von sich schieben,71_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen
71_entfernen-5,entfernen,0,entfernen,71_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen
72_abschlagen-1,abschlagen,0,abschlagen,72_abschlagenabhauenerschlagen
72_abhauen-2,abhauen,0,abhauen,72_abschlagenabhauenerschlagen
72_erschlagen-3,erschlagen,0,erschlagen,72_abschlagenabhauenerschlagen
73_abstreifen-1,abstreifen,0,abstreifen,73_abstreifenablegen
73_ablegen-2,ablegen,0,ablegen,73_abstreifenablegen
74_inangstversetzen-1,in Angst versetzen,0,in Angst versetzen,74_inangstversetzeninsorgeseinangstigen
74_insorgesein-2,in Sorge sein,0,in Sorge sein,74_inangstversetzeninsorgeseinangstigen
74_angstigen-3,ängstigen,0,ängstigen,74_inangstversetzeninsorgeseinangstigen
75_erschrecken-1,erschrecken,0,erschrecken,75_erschreckensichentsetzen
75_sichentsetzen-2,sich entsetzen,0,sich entsetzen,75_erschreckensichentsetzen
76_abstehen-1,abstehen,0,abstehen,76_abstehenablassenabfallen
76_ablassen-2,ablassen,0,ablassen,76_abstehenablassenabfallen
76_abfallen-3,abfallen,0,abfallen,76_abstehenablassenabfallen
77_abfall-1,Abfall,0,Abfall,77_abfallscheidung
77_scheidung-2,Scheidung,0,Scheidung,77_abfallscheidung
78_schwankendmachen-1,schwankend machen,0,schwankend machen,78_schwankendmachenangstlichmachen
78_angstlichmachen-2,ängstlich machen,0,ängstlich machen,78_schwankendmachenangstlichmachen
79_abwischen-1,abwischen,0,abwischen,79_abwischenausloschen
79_ausloschen-2,auslöschen,0,auslöschen,79_abwischenausloschen
80_hinten-1,hinten,0,hinten,80_hinten
81_vonhinten-1,von hinten,0,von hinten,81_vonhinten
82_vonhinten-1,von hinten,0,von hinten,82_vonhintenhinten
82_hinten-2,hinten,0,hinten,82_vonhintenhinten
83_abreien-1,abreißen,0,abreißen,83_abreien
84_wegziehen-1,wegziehen,0,wegziehen,84_wegziehenabziehenfortziehen
84_abziehen-2,abziehen,0,abziehen,84_wegziehenabziehenfortziehen
84_fortziehen-3,fortziehen,0,fortziehen,84_wegziehenabziehenfortziehen
85_wieder-1,wieder,0,wieder,85_wiederzuruckruckwartswiederumabermals
85_zuruck-2,zurück,0,zurück,85_wiederzuruckruckwartswiederumabermals
85_ruckwarts-3,rückwärts,0,rückwärts,85_wiederzuruckruckwartswiederumabermals
85_wiederum-4,wiederum,0,wiederum,85_wiederzuruckruckwartswiederumabermals
85_abermals-5,abermals,0,abermals,85_wiederzuruckruckwartswiederumabermals
86_wiederanfang-1,Wiederanfang,0,,86_wiederanfangwiedererneuerung
86_wiedererneuerung-2,Wiedererneuerung,0,,86_wiederanfangwiedererneuerung
87_letzte-1,letzte,0,letzte,87_letztehintere
87_hintere-2,hintere,0,hintere,87_letztehintere
88_letzte-1,letzte,0,letzte,88_letzte
89_dursten-1,dursten,0,,89_durstenverdurstendurstigsein
89_verdursten-2,verdursten,0,verdursten,89_durstenverdurstendurstigsein
89_durstigsein-3,durstig sein,0,durstig sein,89_durstenverdurstendurstigsein
90_wegfliehen-1,wegfliehen,0,,90_wegfliehenfliehen
90_fliehen-2,fliehen,0,fliehen,90_wegfliehenfliehen
91_sichabwaschen-1,sich abwaschen,0,sich abwaschen,91_sichabwaschenwaschensichwaschen
91_waschen-2,waschen,0,waschen,91_sichabwaschenwaschensichwaschen
91_sichwaschen-3,sich waschen,0,sich waschen,91_sichabwaschenwaschensichwaschen
92_bewegen-1,bewegen,0,bewegen,92_bewegenabbringen
92_abbringen-2,abbringen,0,abbringen,92_bewegenabbringen
93_etwaswegwerfen-1,etwas wegwerfen,0,etwas wegwerfen,93_etwaswegwerfenweichenfortwerfen
93_weichen-2,weichen,0,weichen,93_etwaswegwerfenweichenfortwerfen
93_fortwerfen-3,fortwerfen,0,,93_etwaswegwerfenweichenfortwerfen
94_wegwalzen-1,wegwälzen,0,,94_wegwalzen
95_abwenden-1,abwenden,0,abwenden,95_abwendenvermeiden
95_vermeiden-2,vermeiden,0,vermeiden,95_abwendenvermeiden
96_sichfurchten-1,sich fürchten,0,sich fürchten,96_sichfurchten
97_furchtsam-1,furchtsam,0,furchtsam,97_furchtsam
98_elster-1,Elster,0,Elster,98_elster
99_furchtsamkeit-1,Furchtsamkeit,0,,99_furchtsamkeitangstlichkeit
99_angstlichkeit-2,Ängstlichkeit,0,Ängstlichkeit,99_furchtsamkeitangstlichkeit
100_enge-1,Enge,0,Enge,100_enge
101_angel-1,Angel,0,Angel,101_angel
102_engel-1,Engel,0,Engel,102_engelbote
102_bote-2,Bote,0,Bote,102_engelbote
103_enge-1,Enge,0,Enge,103_engeeinschrankung
103_einschrankung-2,Einschränkung,0,Einschränkung,103_engeeinschrankung
104_enge-1,Enge,0,Enge,104_engebedrangnis
104_bedrangnis-2,Bedrängnis,0,Bedrängnis,104_engebedrangnis
105_bedrangen-1,bedrängen,0,bedrängen,105_bedrangenbeengenengen
105_beengen-2,beengen,0,,105_bedrangenbeengenengen
105_engen-3,engen,0,engen,105_bedrangenbeengenengen
106_eng-1,eng,0,eng,106_eng
107_scharfe-1,Schärfe,0,Schärfe,107_scharfeeckespitzeschneideschwert
107_ecke-2,Ecke,0,Ecke,107_scharfeeckespitzeschneideschwert
107_spitze-3,Spitze,0,Spitze,107_scharfeeckespitzeschneideschwert
107_schneide-4,Schneide,0,Schneide,107_scharfeeckespitzeschneideschwert
107_schwert-5,Schwert,0,Schwert,107_scharfeeckespitzeschneideschwert
108_furcht-1,Furcht,0,Furcht,108_furchtschrecken
108_schrecken-2,Schrecken,0,Schrecken,108_furchtschrecken
109_angstigen-1,ängstigen,0,ängstigen,109_angstigensichfurchten
109_sichfurchten-2,sich fürchten,0,sich fürchten,109_angstigensichfurchten
110_bein-1,Bein,0,Bein,110_beinrohre
110_rohre-2,Röhre,0,Röhre,110_beinrohre
111_unzucht-1,Unzucht,0,Unzucht,111_unzuchtunschicklichkeitunkeuschheit
111_unschicklichkeit-2,Unschicklichkeit,0,,111_unzuchtunschicklichkeitunkeuschheit
111_unkeuschheit-3,Unkeuschheit,0,Unkeuschheit,111_unzuchtunschicklichkeitunkeuschheit
112_schandlich-1,schändlich,0,schändlich,112_schandlichunzuchtig
112_unzuchtig-2,unzüchtig,0,unzüchtig,112_schandlichunzuchtig
113_schmutziggewinnsuchtig-1,schmutzig gewinnsüchtig,0,schmutzig gewinnsüchtig,113_schmutziggewinnsuchtighabsuchtig
113_habsuchtig-2,habsüchtig,0,,113_schmutziggewinnsuchtighabsuchtig
114_unzucht-1,Unzucht,0,Unzucht,114_unzuchtunschicklichkeitunkeuschheit
114_unschicklichkeit-2,Unschicklichkeit,0,,114_unzuchtunschicklichkeitunkeuschheit
114_unkeuschheit-3,Unkeuschheit,0,Unkeuschheit,114_unzuchtunschicklichkeitunkeuschheit
115_schandrede-1,Schandrede,0,,115_schandredeunzuchtigesreden
115_unzuchtigesreden-2,unzüchtiges Reden,0,unzüchtiges Reden,115_schandredeunzuchtigesreden
116_verleumderisch-1,verleumderisch,0,verleumderisch,116_verleumderischschandlich
116_schandlich-2,schändlich,0,schändlich,116_verleumderischschandlich
117_drangsal-1,Drangsal,0,Drangsal,117_drangsaltrubsal
117_trubsal-2,Trübsal,0,Trübsal,117_drangsaltrubsal
118_schaden-1,schaden,0,schaden,118_schadenbelastigen
118_belastigen-2,belästigen,0,belästigen,118_schadenbelastigen
119_drangsal-1,Drangsal,0,Drangsal,119_drangsal
120_schimpflich-1,schimpflich,0,,120_schimpflich
121_schwer-1,schwer,0,schwer,121_schwerschwerlich
121_schwerlich-2,schwerlich,0,schwerlich,121_schwerschwerlich
122_schwierig-1,schwierig,0,schwierig,122_schwierig
123_scharf-1,scharf,0,scharf,123_scharfspitz
123_spitz-2,spitz,0,spitz,123_scharfspitz
124_furchtsam-1,furchtsam,0,furchtsam,124_furchtsamangstlich
124_angstlich-2,ängstlich,0,ängstlich,124_furchtsamangstlich
125_sinn-1,Sinn,0,Sinn,125_sinnverstand
125_verstand-2,Verstand,0,Verstand,125_sinnverstand
126_zahmeweietaube-1,zahme weiße Taube,0,zahme weiße Taube,126_zahmeweietaubetaube
126_taube-2,Taube,0,Taube,126_zahmeweietaubetaube
127_spreu-1,Spreu,0,Spreu,127_spreu
128_meinen-1,meinen,0,meinen,128_meinen
129_geist-1,Geist,0,Geist,129_geist
130_eingebung-1,Eingebung,0,Eingebung,130_eingebunginspiration
130_inspiration-2,Inspiration,0,Inspiration,130_eingebunginspiration
131_eingeben-1,eingeben,0,eingeben,131_eingeben
132_geistig-1,geistig,0,geistig,132_geistiggeistlich
132_geistlich-2,geistlich,0,geistlich,132_geistiggeistlich
133_ahre-1,Ähre,0,Ähre,133_ahre
134_verstandig-1,verständig,0,verständig,134_verstandigbesonnen
134_besonnen-2,besonnen,0,besonnen,134_verstandigbesonnen
135_achse-1,Achse,0,Achse,135_achseachselarune
135_achsel-2,Achsel,0,Achsel,135_achseachselarune
135_arune-3,aRune,0,,135_achseachselarune
136_acht-1,acht,0,acht,136_acht
137_achttagig-1,achttägig,0,,137_achttagig
138_achtzehn-1,achtzehn,0,achtzehn,138_achtzehn
139_achtzig-1,achtzig,0,achtzig,139_achtzig
140_achte-1,achte,0,achte,140_achte
141_fluss-1,Fluss,0,Fluss,141_flussgewasser
141_gewasser-2,Gewässer,0,Gewässer,141_flussgewasser
142_feuer-1,Feuer,0,Feuer,142_feuerbrand
142_brand-2,Brand,0,Brand,142_feuerbrand
143_offnedich-1,öffne dich,0,öffne dich,143_offnedich
144_schrecklich-1,schrecklich,0,schrecklich,144_schrecklich
145_haben-1,haben,0,haben,145_haben
146_eigentum-1,Eigentum,0,Eigentum,146_eigentumvermogen
146_vermogen-2,Vermögen,0,Vermögen,146_eigentumvermogen
147_aneignen-1,aneignen,0,aneignen,147_aneignen
148_eigen-1,eigen,0,eigen,148_eigen
149_klage-1,Klage,0,Klage,149_klagebitte
149_bitte-2,Bitte,0,Bitte,149_klagebitte
150_beten-1,beten,0,beten,150_betenbettelnerbittenfursichverlangen
150_betteln-2,betteln,0,betteln,150_betenbettelnerbittenfursichverlangen
150_erbitten-3,erbitten,0,erbitten,150_betenbettelnerbittenfursichverlangen
150_fursichverlangen-4,für sich verlangen,0,für sich verlangen,150_betenbettelnerbittenfursichverlangen
151_bitte-1,Bitte,0,Bitte,151_bittegebet
151_gebet-2,Gebet,0,Gebet,151_bittegebet
152_eigentum-1,Eigentum,0,Eigentum,152_eigentumbesitzhabegut
152_besitz-2,Besitz,0,Besitz,152_eigentumbesitzhabegut
152_habe-3,Habe,0,Habe,152_eigentumbesitzhabegut
152_gut-4,Gut,0,Gut,152_eigentumbesitzhabegut
153_pferdedorn-1,Pferdedorn,0,,153_pferdedorndornstrauch
153_dornstrauch-2,Dornstrauch,0,,153_pferdedorndornstrauch
154_pferd-1,Pferd,0,Pferd,154_pferderune
154_erune-2,eRune,0,,154_pferderune
155_sprechen-1,sprechen,0,sprechen,155_sprechen
156_kirche-1,Kirche,0,Kirche,156_kirchegotteshausgemeinde
156_gotteshaus-2,Gotteshaus,0,Gotteshaus,156_kirchegotteshausgemeinde
156_gemeinde-3,Gemeinde,0,Gemeinde,156_kirchegotteshausgemeinde
157_eiche-1,Eiche,0,Eiche,157_eiche
158_eloi-1,eloi,0,,158_eloimeingott
158_meingott-2,mein Gott,0,mein Gott,158_eloimeingott
159_eingeboren-1,eingeboren,0,,159_eingeboren
160_einzig-1,einzig,0,einzig,160_einzig
161_vereinzelt-1,vereinzelt,0,vereinzelt,161_vereinzeltalleinstehendeinzeln
161_alleinstehend-2,alleinstehend,0,alleinstehend,161_vereinzeltalleinstehendeinzeln
161_einzeln-3,einzeln,0,einzeln,161_vereinzeltalleinstehendeinzeln
162_einheit-1,Einheit,0,Einheit,162_einheiteinmutigkeit
162_einmutigkeit-2,Einmütigkeit,0,Einmütigkeit,162_einheiteinmutigkeit
163_einmutig-1,einmütig,0,einmütig,163_einmutig
164_einfaltig-1,einfältig,0,einfältig,164_einfaltig
165_einfalt-1,Einfalt,0,Einfalt,165_einfalteinfachheit
165_einfachheit-2,Einfachheit,0,Einfachheit,165_einfalteinfachheit
166_einfach-1,einfach,0,einfach,166_einfacheinfaltig
166_einfaltig-2,einfältig,0,einfältig,166_einfacheinfaltig
167_einjeder-1,ein jeder,0,ein jeder,167_einjeder
168_jedervonbeiden-1,jeder von beiden,0,jeder von beiden,168_jedervonbeiden
169_elf-1,elf,0,elf,169_elf
170_ein-1,ein,0,ein,170_einalleinigeineinzigereingewisserirgendeineinmal
170_alleinig-2,alleinig,0,alleinig,170_einalleinigeineinzigereingewisserirgendeineinmal
170_eineinziger-3,ein einziger,0,ein einziger,170_einalleinigeineinzigereingewisserirgendeineinmal
170_eingewisser-4,ein gewisser,0,ein gewisser,170_einalleinigeineinzigereingewisserirgendeineinmal
170_irgendein-5,irgendein,0,irgendein,170_einalleinigeineinzigereingewisserirgendeineinmal
170_einmal-6,einmal,0,einmal,170_einalleinigeineinzigereingewisserirgendeineinmal
171_irgendein-1,irgendein,0,irgendein,171_irgendeinjederniemand
171_jeder-2,jeder,0,jeder,171_irgendeinjederniemand
171_niemand-3,niemand,0,niemand,171_irgendeinjederniemand
172_bischofsamt-1,Bischofsamt,0,Bischofsamt,172_bischofsamt
173_bischof-1,Bischof,0,Bischof,173_bischof
174_brief-1,Brief,0,Brief,174_brief
175_fruh-1,früh,0,früh,175_fruh
176_gesandtersein-1,Gesandter sein,0,Gesandter sein,176_gesandtersein
177_langst-1,längst,0,längst,177_langsteherfruher
177_eher-2,eher,0,eher,177_langsteherfruher
177_fruher-3,früher,0,früher,177_langsteherfruher
178_vorfahre-1,Vorfahre,0,Vorfahre,178_vorfahre
179_heilig-1,heilig,0,heilig,179_heilig
180_lauterkeit-1,Lauterkeit,0,Lauterkeit,180_lauterkeitechtheitreinheit
180_echtheit-2,Echtheit,0,Echtheit,180_lauterkeitechtheitreinheit
180_reinheit-3,Reinheit,0,Reinheit,180_lauterkeitechtheitreinheit
181_heilig-1,heilig,0,heilig,181_heilig
182_gro-1,groß,0,groß,182_grogewaltig
182_gewaltig-2,gewaltig,0,gewaltig,182_grogewaltig
183_erde-1,Erde,0,Erde,183_erdelanderdreicherdboden
183_land-2,Land,0,Land,183_erdelanderdreicherdboden
183_erdreich-3,Erdreich,0,Erdreich,183_erdelanderdreicherdboden
183_erdboden-4,Erdboden,0,Erdboden,183_erdelanderdreicherdboden
184_vonirdischerabkunft-1,von irdischer Abkunft,0,von irdischer Abkunft,184_vonirdischerabkunftvondererdestammendirdisch
184_vondererdestammend-2,von der Erde stammend,0,von der Erde stammend,184_vonirdischerabkunftvondererdestammendirdisch
184_irdisch-3,irdisch,0,irdisch,184_vonirdischerabkunftvondererdestammendirdisch
185_irdisch-1,irdisch,0,irdisch,185_irdischirden
185_irden-2,irden,0,,185_irdischirden
186_bote-1,Bote,0,Bote,186_botegesandtschaftabgesandter
186_gesandtschaft-2,Gesandtschaft,0,Gesandtschaft,186_botegesandtschaftabgesandter
186_abgesandter-3,Abgesandter,0,Abgesandter,186_botegesandtschaftabgesandter
187_irre-1,Irre,0,Irre,187_irreirrlehreirrtum
187_irrlehre-2,Irrlehre,0,Irrlehre,187_irreirrlehreirrtum
187_irrtum-3,Irrtum,0,Irrtum,187_irreirrlehreirrtum
188_irregefuhrt-1,irre geführt,0,irre geführt,188_irregefuhrtirreverfuhrt
188_irre-2,irre,0,irre,188_irregefuhrtirreverfuhrt
188_verfuhrt-3,verführt,0,verführt,188_irregefuhrtirreverfuhrt
189_irrlehre-1,Irrlehre,0,Irrlehre,189_irrlehreirreirrtum
189_irre-2,Irre,0,Irre,189_irrlehreirreirrtum
189_irrtum-3,Irrtum,0,Irrtum,189_irrlehreirreirrtum
190_irrefuhren-1,irreführen,0,irreführen,190_irrefuhrenirremachenverfuhrenverfuhrer
190_irremachen-2,irre machen,0,irre machen,190_irrefuhrenirremachenverfuhrenverfuhrer
190_verfuhren-3,verführen,0,verführen,190_irrefuhrenirremachenverfuhrenverfuhrer
190_verfuhrer-4,Verführer,0,Verführer,190_irrefuhrenirremachenverfuhrenverfuhrer
191_fragen-1,fragen,0,fragen,191_fragenfordern
191_fordern-2,fordern,0,fordern,191_fragenfordern
192_sichscheuenvor-1,sich scheuen vor,0,sich scheuen vor,192_sichscheuenvor
193_mutter-1,Mutter,0,Mutter,193_mutter
194_eid-1,Eid,0,Eid,194_eid
195_oder-1,oder,0,oder,195_oderwonichtsonstwenigstens
195_wonicht-2,wo nicht,0,wo nicht,195_oderwonichtsonstwenigstens
195_sonst-3,sonst,0,sonst,195_oderwonichtsonstwenigstens
195_wenigstens-4,wenigstens,0,wenigstens,195_oderwonichtsonstwenigstens
196_immer-1,immer,0,immer,196_immerjederzeit
196_jederzeit-2,jederzeit,0,jederzeit,196_immerjederzeit
197_evangelium-1,Evangelium,0,Evangelium,197_evangeliumfrohebotschaft
197_frohebotschaft-2,frohe Botschaft,0,frohe Botschaft,197_evangeliumfrohebotschaft
198_evangelist-1,Evangelist,0,Evangelist,198_evangelist
199_dasevangeliumverkunden-1,das Evangelium verkünden,0,das Evangelium verkünden,199_dasevangeliumverkunden
200_evangelium-1,Evangelium,0,Evangelium,200_evangeliumfrohebotschaft
200_frohebotschaft-2,frohe Botschaft,0,frohe Botschaft,200_evangeliumfrohebotschaft
201_ewig-1,ewig,0,ewig,201_ewig
202_schande-1,Schande,0,Schande,202_schandeschmach
